,Member,Party Name,Constituency
179,"Jeyalakshmi,Smt. Venkatasamy",Congress,Sivakasi (Tamil Nadu )
180,"Jha, `Suman`,Shri Surendra",Janata Party,Darbhanga (Bihar )
181,"Joarder,Shri Dinesh Chandra",CPI(M),Malda (West Bengal )
182,"Joshi,Dr. Murli Manohar",Janata Party,Almora (Uttar Pradesh )
183,"Kachwai,Shri Hukam Chand",Janata Party,Ujjain-SC (Madhya Pradesh )
184,"Kadam,Shri Balsu Pursu",Congress,Kanara (Karnataka )
185,"Kadannappalli,Shri Ramachandran",Congress,Kasaragod (Kerala )
186,"Kaiho,Shri",Janata Party,Outer Manipur-ST (Manipur )
187,"Kakade,Shri Sambhajirao Sahebrao",Janata Party,Baramati (Maharashtra )
188,"Kaldate,Dr. Bapu",Janata Party,Aurangabad (Maharashtra )
189,"Kalyanasundaram,Shri M.",CP,Tiruchirappalli (Tamil Nadu )
190,"Kamakshaiah,Shri Doddavarapu",Congress,Nellore-SC (Andhra Pradesh )
191,"Kamath,Shri Hari Vishnu",Janata Party,Hoshangabad (Madhya Pradesh )
192,"Kamble,Shri Bapu Chandrasen",Janata Party,Bombay South Central (Maharashtra )
193,"Kannan,Shri P.",AIADMK,Salem-Tiruchengode (Tamil Nadu )
194,"Kansar,Shri Amrut",MGP,"Panaji (Goa, Daman and Diu )"
195,"Kapoor,Shri Lakhan Lal",Janata Party,Purnea (Bihar )
196,"Kar,Shri Sarat Kumar",Janata Party,Cuttack (Odisha )
197,"Karan Singh,Dr.",Congress,Udhampur (Jammu and Kashmir )
198,"Kaushik,Shri Purushottam",Janata Party,Raipur (Madhya Pradesh )
199,"Kesharwani,Shri Niranjan Prasad",Janata Party,Bilaspur-SC (Madhya Pradesh )
200,"Khalsa,Shri Basant Singh",Akali Dal,Ropar-SC (Punjab )
201,"Khan,Haji Ghulam Mohd.",Janata Party,Moradabad (Uttar Pradesh )
202,"Khan,Shri Kunwar Mahmud Ali",Janata Party,Hapur (Uttar Pradesh )
203,"Khan,Shri Mahmood Hasan",Janata Party,Bulandshahar (Uttar Pradesh )
204,"Khan,Shri Mohd. Shamsul Hasan",Janata Party,Pilibhit (Uttar Pradesh )
205,"Khan,Shri Ismail Hossain",Congress,Barpeta (Assam )
206,"Khrime,Shri Rinching Khandu",Congress,Arunachal West (Arunachal Pradesh )
